CandidateID,CandidateName,Department,HireDate,HireSource,RoleHiredFor,TimeToHireDays
9001,Allison Hill,News & Content,2024-06-02,LinkedIn,Photojournalist,19
9002,Noah Rhodes,Sales,2020-10-05,Employee Referral,Account Executive,38
9003,Angie Henderson,Finance,2025-03-18,Employee Referral,Financial Analyst,37
9004,Daniel Wagner,News & Content,2025-11-16,Career Site,Editor,47
9005,Cristian Santos,Engineering,2022-12-30,Employee Referral,Systems Engineer,26
9006,Connie Lawrence,News & Content,2019-02-10,Employee Referral,Photojournalist,27
9007,Abigail Shaffer,News & Content,2019-10-19,LinkedIn,Photojournalist,7
9008,Gina Moore,Sales,2020-12-03,LinkedIn,Account Executive,46
9009,Gabrielle Davis,News & Content,2020-08-31,Indeed,Editor,28
9010,Ryan Munoz,News & Content,2021-06-30,LinkedIn,News Director,24
9011,Monica Herrera,News & Content,2018-07-26,LinkedIn,News Director,25
9012,Jamie Arnold,Sales,2023-08-31,Indeed,Sales Manager,41
9013,Lisa Hensley,Sales,2021-08-04,Indeed,Account Executive,35
9014,Michele W. Williams,News & Content,2020-01-17,Employee Referral,Producer,27
9015,Dylan Miller,Finance,2018-09-16,Employee Referral,Accountant,26
9016,Brian Ramirez,Sales,2025-05-31,Employee Referral,Sales Manager,46
9017,Holly Wood,Human Resources,2024-10-07,Career Site,HR Generalist,20
9018,Derek Zuniga,News & Content,2020-06-20,Indeed,Producer,31
9019,Lisa Jackson,Sales,2024-04-29,Employee Referral,Account Executive,31
9020,Carla Gray,News & Content,2023-10-29,Career Site,Reporter,39
9021,Margaret Hawkins DDS,Engineering,2022-11-14,LinkedIn,Broadcast Engineer,70
9022,Patty Perez,Finance,2021-08-29,Employee Referral,Accountant,49
9023,Ethan A. Adams,News & Content,2022-10-02,University Recruiting,Editor,36
9024,Tommy W. Walter,Sales,2022-07-16,University Recruiting,Account Executive,45
9025,Matthew Foster,Sales,2022-12-21,Employee Referral,Sales Manager,20
9026,Judy Baker,Sales,2023-06-19,LinkedIn,Sales Manager,13
9027,Justin Baker,Finance,2021-02-20,Recruiter Sourced,Finance Manager,16
9028,Stephanie Ross,News & Content,2023-09-08,Indeed,Photojournalist,22
9029,Zachary Hicks,News & Content,2019-06-11,Employee Referral,Photojournalist,41
9030,Anthony Rodriguez,News & Content,2022-09-29,Career Site,News Director,45
9031,Rebecca Henderson,Sales,2019-02-03,Career Site,Account Executive,31
9032,James Ferrell,Finance,2025-03-29,Employee Referral,Accountant,25
9033,Tricia Valencia,Sales,2019-08-07,Recruiter Sourced,Account Executive,14
9034,Nathan Maldonado,News & Content,2025-07-19,Employee Referral,News Director,48
9035,Debra Davidson,Sales,2020-03-05,LinkedIn,Account Executive,49
9036,Jeffrey Chavez,News & Content,2022-06-11,Indeed,Photojournalist,22
9037,Sherri B. Baker,Finance,2019-05-08,Recruiter Sourced,Financial Analyst,20
