Email,TicketCategory,DaysToResolve,Escalated
allison.hill@company.com,Policy Question,1,0
allison.hill@company.com,Policy Question,0,1
allison.hill@company.com,IT Access,8,0
allison.hill@company.com,IT Access,0,0
allison.hill@company.com,PTO Request,0,0
noah.rhodes@company.com,IT Access,1,0
noah.rhodes@company.com,Comp Inquiry,2,0
angie.henderson@company.com,Payroll,10,0
angie.henderson@company.com,Payroll,0,0
angie.henderson@company.com,IT Access,1,0
angie.henderson@company.com,Manager Escalation,5,0
angie.henderson@company.com,Payroll,0,0
daniel.wagner@company.com,Comp Inquiry,2,1
daniel.wagner@company.com,Manager Escalation,1,0
daniel.wagner@company.com,Manager Escalation,2,1
daniel.wagner@company.com,IT Access,2,0
daniel.wagner@company.com,Comp Inquiry,0,0
daniel.wagner@company.com,Payroll,4,0
daniel.wagner@company.com,Comp Inquiry,5,0
daniel.wagner@company.com,Policy Question,4,0
daniel.wagner@company.com,Benefits,1,0
daniel.wagner@company.com,Comp Inquiry,5,0
connie.lawrence@company.com,Comp Inquiry,3,0
connie.lawrence@company.com,Benefits,0,0
connie.lawrence@company.com,Policy Question,2,0
connie.lawrence@company.com,Benefits,1,0
connie.lawrence@company.com,Comp Inquiry,1,0
connie.lawrence@company.com,IT Access,7,0
abigail.shaffer@company.com,Policy Question,3,1
abigail.shaffer@company.com,Benefits,4,0
abigail.shaffer@company.com,PTO Request,1,0
gina.moore@company.com,Comp Inquiry,6,0
gina.moore@company.com,Payroll,0,0
ryan.munoz@company.com,Policy Question,1,0
ryan.munoz@company.com,Policy Question,0,0
monica.herrera@company.com,Benefits,9,0
monica.herrera@company.com,Benefits,3,0
monica.herrera@company.com,Payroll,0,1
monica.herrera@company.com,IT Access,0,0
jamie.arnold@company.com,IT Access,1,0
jamie.arnold@company.com,Comp Inquiry,3,0
lisa.hensley@company.com,Policy Question,5,0
lisa.hensley@company.com,Payroll,1,0
lisa.hensley@company.com,Manager Escalation,5,0
lisa.hensley@company.com,IT Access,0,0
michele.williams@company.com,Comp Inquiry,8,0
michele.williams@company.com,IT Access,3,0
michele.williams@company.com,Comp Inquiry,6,0
dylan.miller@company.com,Benefits,16,1
dylan.miller@company.com,Manager Escalation,6,0
dylan.miller@company.com,Payroll,0,0
brian.ramirez@company.com,PTO Request,8,1
brian.ramirez@company.com,Benefits,0,0
brian.ramirez@company.com,PTO Request,1,1
brian.ramirez@company.com,IT Access,3,0
brian.ramirez@company.com,Manager Escalation,0,0
brian.ramirez@company.com,Comp Inquiry,3,0
brian.ramirez@company.com,IT Access,2,0
brian.ramirez@company.com,PTO Request,0,1
holly.wood@company.com,Manager Escalation,0,0
holly.wood@company.com,IT Access,0,0
holly.wood@company.com,Payroll,15,0
holly.wood@company.com,PTO Request,7,0
holly.wood@company.com,Payroll,9,0
holly.wood@company.com,PTO Request,10,1
derek.zuniga@company.com,Payroll,1,0
derek.zuniga@company.com,Policy Question,2,0
derek.zuniga@company.com,Comp Inquiry,13,0
derek.zuniga@company.com,Policy Question,1,0
derek.zuniga@company.com,Payroll,0,0
lisa.jackson@company.com,Manager Escalation,0,0
lisa.jackson@company.com,IT Access,4,0
lisa.jackson@company.com,PTO Request,4,1
carla.gray@company.com,Comp Inquiry,3,0
carla.gray@company.com,Benefits,2,0
margaret.dds@company.com,PTO Request,1,0
margaret.dds@company.com,Manager Escalation,2,0
patty.perez@company.com,IT Access,1,0
patty.perez@company.com,IT Access,0,1
patty.perez@company.com,Benefits,1,0
ethan.adams@company.com,Manager Escalation,0,0
ethan.adams@company.com,Comp Inquiry,3,0
tommy.walter@company.com,PTO Request,0,0
tommy.walter@company.com,Manager Escalation,0,1
matthew.foster@company.com,PTO Request,0,0
matthew.foster@company.com,PTO Request,5,0
matthew.foster@company.com,IT Access,0,0
matthew.foster@company.com,Manager Escalation,1,0
matthew.foster@company.com,PTO Request,3,0
matthew.foster@company.com,PTO Request,3,0
matthew.foster@company.com,Comp Inquiry,0,1
