AvgResolveDays,Email,EscalatedCount,TicketCount
1.67,aaron.carlson@company.com,1,6
2.33,aaron.miller@company.com,1,3
6.5,aaron.moore@company.com,0,4
4.6,aaron.parker@company.com,0,5
2.0,aaron.schroeder@company.com,0,4
1.0,aaron.wise@company.com,1,1
2.67,abigail.shaffer@company.com,1,3
3.0,adam.brooks@company.com,0,4
2.57,adam.burgess@company.com,2,7
1.0,adam.jackson@company.com,0,2
3.6,adam.taylor@company.com,0,5
3.0,adam.vaughan@company.com,2,3
0.75,aimee.gonzalez@company.com,0,8
1.67,aimee.turner@company.com,0,3
2.33,alejandro.deleon@company.com,0,6
1.0,alejandro.martinez@company.com,0,2
3.29,alex.hernandez@company.com,0,7
2.2,alexa.buck@company.com,1,5
3.0,alexander.brown@company.com,0,1
0.75,alexander.collins@company.com,1,4
3.6,alexander.gomez@company.com,1,5
3.5,alexis.harris@company.com,0,2
4.83,alfred.galvan@company.com,1,6
0.75,alicia.li@company.com,0,4
3.0,alicia.roth@company.com,3,9
0.5,alison.brown@company.com,0,2
3.14,alison.williams@company.com,4,7
1.33,allen.mendez@company.com,1,3
0.6,allen.rosales@company.com,1,5
1.8,allison.hill@company.com,1,5
3.0,allison.smith@company.com,0,1
2.0,allison.spencer@company.com,0,5
5.33,alyssa.alvarado@company.com,0,3
3.5,alyssa.day@company.com,4,8
2.67,alyssa.haynes@company.com,1,3
1.8,alyssa.long@company.com,1,5
0.5,amanda.guzman@company.com,1,2
2.67,amanda.harvey@company.com,1,6
4.4,amanda.hill@company.com,1,5
3.0,amanda.jones@company.com,1,5
2.5,amanda.md@company.com,1,2
3.38,amanda.perkins@company.com,2,8
3.0,amanda.pineda@company.com,0,2
0.0,amber.cooper@company.com,1,2
2.0,amber.kidd@company.com,1,4
2.5,amber.martin@company.com,0,4
3.1,amber.obrien@company.com,4,10
1.57,amber.vang@company.com,0,7
2.25,amber.walker@company.com,0,8
2.2,amber.wright@company.com,0,5
4.25,amber.yang@company.com,0,4
8.0,amy.garcia@company.com,0,2
7.5,amy.gordon@company.com,0,2
2.2,amy.kelley@company.com,0,5
3.5,amy.martinez@company.com,0,4
7.0,amy.miller@company.com,0,1
2.45,amy.ramirez@company.com,1,11
2.14,amy.rowe@company.com,1,7
1.67,amy.silva@company.com,0,3
1.0,ana.hill@company.com,1,5
2.5,andre.watson@company.com,0,6
2.0,andrea.hubbard@company.com,1,4
2.71,andrew.avila@company.com,1,7
3.33,andrew.cruz@company.com,1,6
1.75,andrew.harper@company.com,1,8
7.0,andrew.moreno@company.com,0,1
1.75,andrew.reynolds@company.com,0,4
1.67,andrew.roberts@company.com,0,3
1.67,angel.gordon@company.com,0,3
4.5,angel.may@company.com,0,2
7.0,angel.perry@company.com,1,2
4.0,angel.reilly@company.com,0,3
3.5,angela.jackson@company.com,1,2
3.0,angela.lin@company.com,0,5
1.0,angela.lopez@company.com,0,1
2.8,angela.vaughn@company.com,0,5
5.0,angelica.keith@company.com,0,4
2.33,angelica.parker@company.com,1,3
1.67,angelica.tucker@company.com,1,3
3.2,angie.henderson@company.com,0,5
2.75,anna.briggs@company.com,1,4
3.25,anna.estes@company.com,0,4
3.5,anna.henderson@company.com,0,2
2.4,anna.walker@company.com,1,5
4.0,annette.melton@company.com,3,7
0.0,anthony.armstrong@company.com,1,1
0.5,anthony.everett@company.com,1,4
5.0,anthony.gonzales@company.com,0,2
3.33,anthony.harmon@company.com,1,6
5.0,anthony.humphrey@company.com,0,4
4.2,anthony.jones@company.com,1,5
0.2,anthony.moore@company.com,1,5
2.17,anthony.randolph@company.com,2,6
7.0,anthony.rodriguez@company.com,0,3
5.38,anthony.romero@company.com,1,8
3.57,antonio.garcia@company.com,0,7
0.6,antonio.mccormick@company.com,3,5
2.0,april.davis@company.com,0,7
1.75,april.frost@company.com,0,4
2.5,ariana.jennings@company.com,2,4
1.25,ariel.sandoval@company.com,0,4
1.0,arthur.mcneil@company.com,0,2
2.0,arthur.md@company.com,1,1
5.0,ashley.edwards@company.com,1,4
0.0,ashley.hall@company.com,0,1
2.0,ashley.hicks@company.com,1,2
1.0,ashley.malone@company.com,0,1
2.0,ashley.moreno@company.com,0,2
5.0,ashley.parrish@company.com,0,4
3.33,ashley.smith@company.com,1,3
1.0,ashley.waller@company.com,1,4
3.5,ashley.wise@company.com,0,4
1.25,austin.baker@company.com,2,4
2.5,austin.osborne@company.com,1,2
1.5,austin.schultz@company.com,1,4
2.0,austin.walker@company.com,1,4
3.0,bailey.dds@company.com,0,4
2.0,barbara.dudley@company.com,0,2
2.29,barbara.hester@company.com,1,7
0.5,benjamin.reyes@company.com,0,2
1.67,benjamin.smith@company.com,1,3
3.89,bernard.smith@company.com,0,9
0.5,beth.cline@company.com,1,2
1.0,beth.hall@company.com,1,3
1.0,bianca.knapp@company.com,0,5
0.0,bianca.wood@company.com,0,1
3.17,blake.orr@company.com,0,6
1.78,bobby.guerrero@company.com,0,9
2.43,bonnie.santos@company.com,3,7
2.55,bonnie.valencia@company.com,1,11
2.25,bradley.dds@company.com,0,8
